Name,Value,Weight,Volume
Item_1,1,6,3
Item_2,3,1,5
Item_3,4,1,1
Item_4,2,6,3
Item_5,5,4,5
Item_6,4,5,2
Item_7,5,2,2
Item_8,1,6,3
Item_9,4,1,1
Item_10,5,2,2
Item_11,1,5,2
Item_12,3,1,2
Item_13,2,7,2
Item_14,2,1,2
Item_15,4,5,5
Item_16,5,4,4
Item_17,2,4,6
Item_18,3,7,5
Item_19,5,6,1
Item_20,3,4,6
Item_21,2,7,6
Item_22,2,2,4
Item_23,5,5,5
Item_24,4,7,5
Item_25,5,2,6
Item_26,4,3,6
Item_27,1,1,2
Item_28,2,6,4
Item_29,5,1,3
Item_30,5,7,1
Item_31,4,2,3
Item_32,5,4,3
Item_33,2,2,2
Item_34,5,5,1
Item_35,5,7,2
Item_36,4,1,6
Item_37,5,2,6
Item_38,2,2,4
Item_39,1,4,6
Item_40,3,6,3
Item_41,2,5,5
Item_42,4,4,4
Item_43,4,5,3
Item_44,4,6,4
Item_45,1,1,4
Item_46,2,3,2
Item_47,1,4,3
Item_48,3,5,4
Item_49,4,2,3
Item_50,3,6,5
